property_id,full_address,address_line1,address_line2,city,state,state_fips,zip_code,county,county_fips,latitude,longitude,property_type,bedrooms,bathrooms,square_footage,year_built,features,tax_assessments,property_taxes,lot_size,assessor_id,legal_description,subdivision,owner,owner_occupied
"3101-Shoreline-Dr,-Austin,-TX-78728","3101 Shoreline Dr, Austin, TX 78728",3101 Shoreline Dr,,Austin,TX,48,78728,Travis,453,30.45401,-97.68389,Townhouse,,,,1986.0,,,,,,,,,
"1909-Rio-Grande-St,-Austin,-TX-78705","1909 Rio Grande St, Austin, TX 78705",1909 Rio Grande St,,Austin,TX,48,78705,Travis,453,30.283703,-97.744799,Apartment,,,,2018.0,,,,,,,,,
"1630-E-6th-St,-Austin,-TX-78702","1630 E 6th St, Austin, TX 78702",1630 E 6th St,,Austin,TX,48,78702,Travis,453,30.26265,-97.724549,Apartment,0.0,1.0,355.0,2017.0,,,,,,,,,
"2810-Hemphill-Park,-Austin,-TX-78705","2810 Hemphill Park, Austin, TX 78705",2810 Hemphill Park,,Austin,TX,48,78705,Travis,453,30.29348,-97.74126,Apartment,3.0,2.0,1065.0,2003.0,,,,,,,,,
"5400-N-Lamar-Blvd,-Austin,-TX-78751","5400 N Lamar Blvd, Austin, TX 78751",5400 N Lamar Blvd,,Austin,TX,48,78751,Travis,453,30.322148,-97.729454,Apartment,1.0,1.0,690.0,2014.0,,,,,,,,,
"2430-Cromwell-Cir,-Austin,-TX-78741","2430 Cromwell Cir, Austin, TX 78741",2430 Cromwell Cir,,Austin,TX,48,78741,Travis,453,30.22721,-97.72042,Apartment,1.0,1.0,603.0,1979.0,,,,,,,,,
"1901-Onion-Creek-Pkwy,-Austin,-TX-78748","1901 Onion Creek Pkwy, Austin, TX 78748",1901 Onion Creek Pkwy,,Austin,TX,48,78748,Travis,453,30.136809,-97.803248,Apartment,1.0,1.0,680.0,2008.0,,,,,,,,,
"1915-Wells-Branch-Pkwy,-Austin,-TX-78728","1915 Wells Branch Pkwy, Austin, TX 78728",1915 Wells Branch Pkwy,,Austin,TX,48,78728,Travis,453,30.433986,-97.68079,Apartment,1.0,1.0,502.0,1984.0,,,,,,,,,
"12638-Ridgeline-Blvd,-Austin,-TX-78613","12638 Ridgeline Blvd, Austin, TX 78613",12638 Ridgeline Blvd,,Austin,TX,48,78613,Williamson,491,30.46502,-97.80981,Apartment,,,,2019.0,,,,,,,,,
"5708-W-Parmer-Ln,-Austin,-TX-78727","5708 W Parmer Ln, Austin, TX 78727",5708 W Parmer Ln,,Austin,TX,48,78727,Travis,453,30.438951,-97.736188,Apartment,1.0,1.0,785.0,2016.0,,,,,,,,,
